disp_x,disp_y,id,x,y,z,weight_disp_x,weight_disp_y,diff_disp_x,diff_disp_y,weighted_diff_disp,weighted_diff_disp_2noise,weighted_diff_disp_5noise
4.4145559550017e-09,-7.371409482937e-07,362,0.000125,0.00085,0,0.0,1000000000000.0,0.0,8.284970089380997e-08,82849.70089380998,82455.03788695224,83470.54985339829
-4.5368105203289e-08,-7.3681585178456e-07,363,0.00015,0.00085,0,0.0,1000000000000.0,0.0,7.453096103345003e-08,74530.96103345003,73669.93969928712,72207.9747787279
-9.3720784979332e-08,-7.3100590630246e-07,364,0.000175,0.00085,0,0.0,1000000000000.0,0.0,6.675814265545996e-08,66758.14265545996,66736.51732037058,67653.71008694517
-1.4128525610625e-07,-7.1972738084378e-07,365,0.0002,0.00085,0,0.0,1000000000000.0,0.0,5.947219107889005e-08,59472.19107889005,59170.76954423894,60977.994287864676
-1.8852587553395e-07,-7.0284434108831e-07,366,0.000225,0.00085,0,0.0,1000000000000.0,0.0,5.265991355221e-08,52659.91355221,52900.29475355688,55348.06225995344
-2.3582818113675e-07,-6.800934606483e-07,367,0.00025,0.00085,0,0.0,1000000000000.0,0.0,4.631150459338999e-08,46311.50459338999,46497.5747213161,45489.34309847603
-2.8357465902482e-07,-6.5106867850383e-07,368,0.000275,0.00085,0,0.0,1000000000000.0,0.0,4.0405922383499943e-08,40405.92238349994,40144.30484654418,36797.92742912707
-3.322203439916e-07,-6.1519373027949e-07,369,0.0003,0.00085,0,0.0,1000000000000.0,0.0,3.490925050521997e-08,34909.25050521997,34846.08153446458,38331.8000283601
-3.823832447626e-07,-5.7170026497504e-07,370,0.000325,0.00085,0,0.0,1000000000000.0,0.0,2.9777988193599968e-08,29777.98819359997,29820.114903499423,30945.00537211023
-4.3496288651624e-07,-5.196313291145e-07,371,0.00035,0.00085,0,0.0,1000000000000.0,0.0,2.496332117399e-08,24963.32117399,24484.639080181154,21833.95963159281
-4.9129849541209e-07,-4.5790457789668e-07,372,0.000375,0.00085,0,0.0,1000000000000.0,0.0,2.041472681118e-08,20414.72681118,18668.400242888387,17816.445282448825
3.4509908100577e-07,-8.2651008224316e-07,378,2.5e-05,0.0009,0,0.0,1000000000000.0,0.0,1.6375472300232013e-07,163754.72300232013,164807.01306036342,160284.25839771578
4.2034496399002e-07,-7.9297938600581e-07,379,0.0,0.0009,0,0.0,1000000000000.0,0.0,1.4989052100972009e-07,149890.52100972008,150398.10744768594,148896.60160669617
2.6142472276821e-07,-8.658133855062e-07,380,5e-05,0.0009,0,0.0,1000000000000.0,0.0,1.4572815193759992e-07,145728.1519375999,144898.51022890114,148221.8193715599
1.7932865843188e-07,-8.9461647738739e-07,381,7.5e-05,0.0009,0,0.0,1000000000000.0,0.0,1.2752673735680993e-07,127526.73735680993,128186.01079792921,130559.25430015723
1.0121282655904e-07,-9.1403798163552e-07,382,0.0001,0.0009,0,0.0,1000000000000.0,0.0,1.1167785050348002e-07,111677.85050348002,111524.29300439783,110993.48046105957
2.6872983590061e-08,-9.2539173738129e-07,383,0.000125,0.0009,0,0.0,1000000000000.0,0.0,9.794433636830988e-08,97944.33636830987,97581.34570283211,99505.75245418266
-4.4565061661774e-08,-9.2947877484084e-07,384,0.00015,0.0009,0,0.0,1000000000000.0,0.0,8.587589166556005e-08,85875.89166556005,84892.73190992208,88614.87440486369
-1.1402382929026e-07,-9.2672885271072e-07,385,0.000175,0.0009,0,0.0,1000000000000.0,0.0,7.517789975268006e-08,75177.89975268005,75916.74246695483,75464.60104682542
-1.8227809475183e-07,-9.1733795681715e-07,386,0.0002,0.0009,0,0.0,1000000000000.0,0.0,6.566115212605011e-08,65661.15212605012,65277.366260702125,62004.715931382416
-2.4992028703442e-07,-9.0130628775711e-07,387,0.000225,0.0009,0,0.0,1000000000000.0,0.0,5.717956470114004e-08,57179.564701140036,56813.28611089458,57878.98844272632
-3.1738330204088e-07,-8.7841858156257e-07,388,0.00025,0.0009,0,0.0,1000000000000.0,0.0,4.960081152689991e-08,49600.81152689991,48357.705567947836,50361.108025477864
-3.8497927389465e-07,-8.4819609869741e-07,389,0.000275,0.0009,0,0.0,1000000000000.0,0.0,4.2798265015400004e-08,42798.26501540001,42522.44573815921,43147.80445230113
-4.5294151865813e-07,-8.0983191372792e-07,390,0.0003,0.0009,0,0.0,1000000000000.0,0.0,3.665165152888002e-08,36651.65152888002,37138.371439550174,37897.688155674965
-5.2147247606531e-07,-7.6211277935064e-07,391,0.000325,0.0009,0,0.0,1000000000000.0,0.0,3.1049678410629926e-08,31049.678410629927,32349.453082204276,29652.588545673272
-5.9081304803498e-07,-7.0333175783715e-07,392,0.00035,0.0009,0,0.0,1000000000000.0,0.0,2.589198694274998e-08,25891.98694274998,26198.548525194456,24035.50894845026
-6.6136569947532e-07,-6.3120971048794e-07,393,0.000375,0.0009,0,0.0,1000000000000.0,0.0,2.1089806799710034e-08,21089.806799710033,21153.193985088612,22044.844083646363
3.799496273685e-07,-1.0039377199923e-06,399,2.5e-05,0.00095,0,0.0,1000000000000.0,0.0,1.4960913530960008e-07,149609.1353096001,150643.6769804058,150172.8482120407
4.6233357123983e-07,-9.8184368460708e-07,400,0.0,0.00095,0,0.0,1000000000000.0,0.0,1.5249113196921992e-07,152491.13196921992,152022.30648269813,152667.64847251575
2.9623006570937e-07,-1.0307865448876e-06,401,5e-05,0.00095,0,0.0,1000000000000.0,0.0,1.4639742154390003e-07,146397.42154390004,145277.20911066243,148972.51565805037
2.0999441038317e-07,-1.0577359033471e-06,402,7.5e-05,0.00095,0,0.0,1000000000000.0,0.0,1.3573836469909998e-07,135738.3646991,135988.62193168956,132111.28819180236
1.2309044749938e-07,-1.0794795258918e-06,403,0.0001,0.00095,0,0.0,1000000000000.0,0.0,1.2233303901459985e-07,122333.03901459985,123048.16500064413,121473.93221145
